cbo;cbo_nome;grupo_ocupacional;familia_especialidade;status_mapeamento;vinculos;anos_com_dado;primeiro_ano;ultimo_ano
223293;Cirurgião-dentista — acupunturista;Cirurgiões-dentistas;Práticas integrativas / acupuntura;mapeado;8489;4;2019;2022
223264;Cirurgião-dentista — protesiólogo bucomaxilofacial;Cirurgiões-dentistas;Prótese bucomaxilofacial;mapeado;338;4;2019;2022
223268;Cirurgião-dentista — protesista;Cirurgiões-dentistas;Prótese dentária;mapeado;2600;4;2019;2022
223272;Cirurgião-dentista — radiologista;Cirurgiões-dentistas;Radiologia odontológica / imaginologia;mapeado;18808;4;2019;2022
223276;Cirurgião-dentista — saúde coletiva;Cirurgiões-dentistas;Saúde coletiva / saúde pública;mapeado;900;4;2019;2022
322415;Auxiliar em saúde bucal;Equipe auxiliar odontológica;Auxiliar em saúde bucal;mapeado;382657;4;2019;2022
322430;Auxiliar/técnico de apoio em saúde bucal;Equipe auxiliar odontológica;Auxiliar em saúde bucal;mapeado;11613;4;2019;2022
322410;Protético dentário;Equipe auxiliar odontológica;Prótese dentária;mapeado;15068;4;2019;2022
322420;Auxiliar de prótese dentária;Equipe auxiliar odontológica;Prótese dentária;mapeado;50402;4;2019;2022
322425;Técnico em prótese dentária;Equipe auxiliar odontológica;Prótese dentária;mapeado;3129;4;2019;2022
322405;Técnico em saúde bucal;Equipe auxiliar odontológica;Técnico em saúde bucal;mapeado;72369;4;2019;2022
225103;Ocupação relacionada presente na base — CBO 225103;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;4289;4;2019;2022
225105;Ocupação relacionada presente na base — CBO 225105;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;9867;4;2019;2022
225106;Ocupação relacionada presente na base — CBO 225106;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;8165;4;2019;2022
225109;Ocupação relacionada presente na base — CBO 225109;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;3850;4;2019;2022
225110;Ocupação relacionada presente na base — CBO 225110;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;854;4;2019;2022
225112;Ocupação relacionada presente na base — CBO 225112;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;7116;4;2019;2022
225115;Ocupação relacionada presente na base — CBO 225115;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2503;4;2019;2022
225118;Ocupação relacionada presente na base — CBO 225118;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;271;4;2019;2022
225120;Ocupação relacionada presente na base — CBO 225120;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;14636;4;2019;2022
225121;Ocupação relacionada presente na base — CBO 225121;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;8568;4;2019;2022
225122;Ocupação relacionada presente na base — CBO 225122;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1327;4;2019;2022
225124;Ocupação relacionada presente na base — CBO 225124;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;62610;4;2019;2022
225125;Ocupação relacionada presente na base — CBO 225125;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;826793;4;2019;2022
225127;Ocupação relacionada presente na base — CBO 225127;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2202;4;2019;2022
225130;Ocupação relacionada presente na base — CBO 225130;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;29501;4;2019;2022
225133;Ocupação relacionada presente na base — CBO 225133;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;18827;4;2019;2022
225135;Ocupação relacionada presente na base — CBO 225135;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;4161;4;2019;2022
225136;Ocupação relacionada presente na base — CBO 225136;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1404;4;2019;2022
225139;Ocupação relacionada presente na base — CBO 225139;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;3322;4;2019;2022
225140;Ocupação relacionada presente na base — CBO 225140;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;46260;4;2019;2022
225142;Ocupação relacionada presente na base — CBO 225142;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;33427;4;2019;2022
225145;Ocupação relacionada presente na base — CBO 225145;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;825;4;2019;2022
225148;Ocupação relacionada presente na base — CBO 225148;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;847;4;2019;2022
225150;Ocupação relacionada presente na base — CBO 225150;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;17456;4;2019;2022
225151;Ocupação relacionada presente na base — CBO 225151;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;18116;4;2019;2022
225154;Ocupação relacionada presente na base — CBO 225154;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;199;4;2019;2022
225155;Ocupação relacionada presente na base — CBO 225155;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;3425;4;2019;2022
225160;Ocupação relacionada presente na base — CBO 225160;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;651;4;2019;2022
225165;Ocupação relacionada presente na base — CBO 225165;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2087;4;2019;2022
225170;Ocupação relacionada presente na base — CBO 225170;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;23622;4;2019;2022
225175;Ocupação relacionada presente na base — CBO 225175;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;539;4;2019;2022
225180;Ocupação relacionada presente na base — CBO 225180;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1478;4;2019;2022
225185;Ocupação relacionada presente na base — CBO 225185;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2316;4;2019;2022
225195;Ocupação relacionada presente na base — CBO 225195;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;366;4;2019;2022
225203;Ocupação relacionada presente na base — CBO 225203;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1789;4;2019;2022
225210;Ocupação relacionada presente na base — CBO 225210;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2485;4;2019;2022
225215;Ocupação relacionada presente na base — CBO 225215;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;396;4;2019;2022
225220;Ocupação relacionada presente na base — CBO 225220;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;253;4;2019;2022
225225;Ocupação relacionada presente na base — CBO 225225;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;29530;4;2019;2022
225230;Ocupação relacionada presente na base — CBO 225230;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1618;4;2019;2022
225235;Ocupação relacionada presente na base — CBO 225235;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2103;4;2019;2022
225240;Ocupação relacionada presente na base — CBO 225240;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;667;4;2019;2022
225250;Ocupação relacionada presente na base — CBO 225250;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;37341;4;2019;2022
225255;Ocupação relacionada presente na base — CBO 225255;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1277;4;2019;2022
225260;Ocupação relacionada presente na base — CBO 225260;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;2730;4;2019;2022
225265;Ocupação relacionada presente na base — CBO 225265;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;6506;4;2019;2022
225270;Ocupação relacionada presente na base — CBO 225270;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;19912;4;2019;2022
225275;Ocupação relacionada presente na base — CBO 225275;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;4173;4;2019;2022
225280;Ocupação relacionada presente na base — CBO 225280;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1876;4;2019;2022
225285;Ocupação relacionada presente na base — CBO 225285;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;4548;4;2019;2022
225290;Ocupação relacionada presente na base — CBO 225290;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;212;4;2019;2022
225295;Ocupação relacionada presente na base — CBO 225295;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;65;4;2019;2022
225305;Ocupação relacionada presente na base — CBO 225305;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;255;4;2019;2022
225310;Ocupação relacionada presente na base — CBO 225310;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1367;4;2019;2022
225315;Ocupação relacionada presente na base — CBO 225315;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;176;4;2019;2022
225320;Ocupação relacionada presente na base — CBO 225320;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;9480;4;2019;2022
225325;Ocupação relacionada presente na base — CBO 225325;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;10751;4;2019;2022
225330;Ocupação relacionada presente na base — CBO 225330;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;510;4;2019;2022
225335;Ocupação relacionada presente na base — CBO 225335;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;1426;4;2019;2022
225340;Ocupação relacionada presente na base — CBO 225340;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;678;4;2019;2022
225345;Ocupação relacionada presente na base — CBO 225345;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;7;4;2019;2022
225350;Ocupação relacionada presente na base — CBO 225350;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;383;4;2019;2022
225355;Ocupação relacionada presente na base — CBO 225355;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;680;3;2020;2022
322505;Ocupação relacionada presente na base — CBO 322505;Outras ocupações presentes no recorte odontológico;Revisar pertinência odontológica;revisar_pertinencia;6197;4;2019;2022
